adults,children,babies,meal,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
2,0,0,BB,0,0,Check-Out,7/1/15
2,0,0,BB,0,0,Check-Out,7/1/15
1,0,0,BB,0,0,Check-Out,7/2/15
1,0,0,BB,0,0,Check-Out,7/2/15
2,0,0,BB,0,1,Check-Out,7/3/15
2,0,0,BB,0,1,Check-Out,7/3/15
2,0,0,BB,0,0,Check-Out,7/3/15
2,0,0,FB,0,1,Check-Out,7/3/15
2,0,0,BB,0,1,Canceled,5/6/15
2,0,0,HB,0,0,Canceled,4/22/15
2,0,0,BB,0,0,Canceled,6/23/15
2,0,0,HB,0,0,Check-Out,7/5/15
2,0,0,BB,0,3,Check-Out,7/5/15
2,1,0,HB,0,1,Check-Out,7/5/15
2,0,0,BB,0,0,Check-Out,7/5/15
2,0,0,BB,0,3,Check-Out,7/5/15
2,0,0,BB,0,0,Check-Out,7/5/15
2,0,0,BB,0,0,Check-Out,7/2/15
2,0,0,BB,0,0,Check-Out,7/2/15
2,0,0,BB,0,1,Check-Out,7/5/15
1,0,0,BB,0,1,Check-Out,7/6/15
2,0,0,BB,0,1,Check-Out,7/7/15
2,0,0,BB,0,1,Check-Out,7/7/15
2,0,0,BB,0,1,Check-Out,7/7/15
2,0,0,HB,0,1,Check-Out,7/1/15
2,0,0,BB,1,0,Check-Out,7/8/15
2,0,0,BB,0,0,Check-Out,7/8/15
2,0,0,BB,0,2,Canceled,5/11/15
2,0,0,BB,0,0,Check-Out,7/8/15
2,0,0,BB,1,1,Check-Out,7/8/15
1,0,0,BB,0,2,Check-Out,7/15/15
2,0,0,BB,0,0,Check-Out,7/16/15
2,0,0,BB,0,2,Canceled,5/29/15
2,0,0,BB,0,0,Check-Out,7/8/15
3,0,0,BB,0,1,Canceled,5/19/15
3,0,0,BB,0,1,Canceled,6/19/15
2,0,0,BB,0,0,Check-Out,7/6/15
3,0,0,BB,0,1,Check-Out,7/6/15
3,0,0,BB,0,0,Canceled,5/23/15
2,0,0,HB,0,1,Check-Out,7/7/15
2,0,0,BB,0,0,Canceled,5/18/15
2,0,0,BB,0,0,Check-Out,7/7/15
2,0,0,BB,0,0,Check-Out,7/7/15
2,0,0,HB,0,1,Check-Out,7/7/15
2,0,0,BB,0,2,Check-Out,7/9/15
