is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,reserved_room_type,assigned_room_type,booking_changes
0,342,2015,July,27,1,0,0,C,C,3
0,737,2015,July,27,1,0,0,C,C,4
0,7,2015,July,27,1,0,1,A,C,0
0,13,2015,July,27,1,0,1,A,A,0
0,14,2015,July,27,1,0,2,A,A,0
0,14,2015,July,27,1,0,2,A,A,0
0,0,2015,July,27,1,0,2,C,C,0
0,9,2015,July,27,1,0,2,C,C,0
1,85,2015,July,27,1,0,3,A,A,0
1,75,2015,July,27,1,0,3,D,D,0
1,23,2015,July,27,1,0,4,E,E,0
0,35,2015,July,27,1,0,4,D,D,0
0,68,2015,July,27,1,0,4,D,E,0
0,18,2015,July,27,1,0,4,G,G,1
0,37,2015,July,27,1,0,4,E,E,0
0,68,2015,July,27,1,0,4,D,E,0
0,37,2015,July,27,1,0,4,E,E,0
0,12,2015,July,27,1,0,1,A,E,0
0,0,2015,July,27,1,0,1,A,G,0
0,7,2015,July,27,1,0,4,G,G,0
0,37,2015,July,27,1,1,4,F,F,0
0,72,2015,July,27,1,2,4,A,A,1
0,72,2015,July,27,1,2,4,A,A,1
0,72,2015,July,27,1,2,4,D,D,1
0,127,2015,July,27,1,2,5,D,I,0
0,78,2015,July,27,1,2,5,D,D,0
0,48,2015,July,27,1,2,5,D,D,0
1,60,2015,July,27,1,2,5,E,E,0
0,77,2015,July,27,1,2,5,A,A,0
0,99,2015,July,27,1,2,5,D,D,0
0,118,2015,July,27,1,4,10,A,A,2
0,95,2015,July,27,1,4,11,D,D,0
1,96,2015,July,27,1,2,8,E,E,0
0,69,2015,July,27,2,2,4,A,C,0
1,45,2015,July,27,2,1,3,D,D,0
1,40,2015,July,27,2,1,3,D,D,0
0,15,2015,July,27,2,1,3,A,C,0
0,36,2015,July,27,2,1,3,D,D,0
1,43,2015,July,27,2,1,3,D,D,0
0,70,2015,July,27,2,2,3,E,E,0
1,45,2015,July,27,2,2,3,G,G,0
0,45,2015,July,27,2,2,3,D,D,0
0,16,2015,July,27,2,2,3,F,F,0
0,70,2015,July,27,2,2,3,E,E,0
